institution_id,categorie_id,classification_juridique,statut,chemin_fichier,nom_original,type_mime,taille_fichier,texte_brut,nombre_pages,titre,resume,tags,source,url_source,version_document,langue,date_publication,date_entree_vigueur,date_abrogation,date_decision,parent_id,remplace_document_id,documents_associes_ids
,Constitutions,Droit constitutionnel,En vigueur,,Constitution_2016.pdf,application/pdf,,,,"Constitution de la République de Côte d'Ivoire du 8 novembre 2016","Établit les fondements juridiques pour l'entrepreneuriat, consacre le droit à la libre entreprise (article 13), garantit la sécurité des investissements et le droit de propriété","constitution;droits;entreprise;investissement","Présidence de la République","https://www.presidence.ci/wp-content/uploads/2025/06/Constitution-livret-ok.pdf","Version consolidée mod.2020,2023",FR,2016-11-08,2016-11-08,,,,,
,Ordonnances,Droit commercial général,En vigueur,,Ord_2024-857_CodeInvestissements.pdf,application/pdf,,,,"Ordonnance n°2024-857 du 30 septembre 2024 modifiant l'ordonnance n°2018-646 portant Code des investissements","Nouveau code des investissements avec réformes majeures pour rationaliser les avantages fiscaux et douaniers, régimes déclaration et agrément, avantages selon zones géographiques","investissement;incitations;fiscalité;PME","CEPICI","https://www.artci.ci/images/stories/pdf/autre_documents/Code_investissement.pdf","Modification de l'Ord.2018-646",FR,2024-09-30,2024-09-30,,,,"2",
,Actes uniformes OHADA,Droit des sociétés,En vigueur,,AU_OHADA_2014_Societes.pdf,application/pdf,,,,"Acte uniforme révisé relatif au droit des sociétés commerciales et du GIE (30 janvier 2014)","Régit toutes les formes de sociétés commerciales (SARL, SA, SAS, SNC, GIE), définit les règles de constitution, fonctionnement, transformation et dissolution","sociétés;OHADA;SARL;SA;GIE","OHADA","https://www.droit-afrique.com/upload/doc/ohada/Ohada-Acte-Uniforme-2014-Societes-commerciales-GIE.pdf","Révision de l'AU de 1997",FR,2014-01-30,2014-05-05,,,,,
,Lois ordinaires,Droit fiscal et douanier,En vigueur,,LF_2025.pdf,application/pdf,,,,"Loi de finances n°2024-1109 du 18 décembre 2024 portant budget de l'État pour 2025","Innovations fiscales majeures : suspension temporaire droits et taxes phase investissement, nouvelles règles entreprises non-résidentes, suppression certaines exonérations TVA","fiscalité;budget;TVA;impôts","DGBF","https://www.dgbf.ci/wp-content/uploads/loi-finances-2025.pdf","Loi initiale 2025",FR,2024-12-18,2025-01-01,,,,,
,Codes,Droit fiscal et douanier,En vigueur,,CGI_2025.pdf,application/pdf,,,,"Code Général des Impôts de la Côte d'Ivoire - Édition 2025","Document fondamental du système fiscal comprenant tous les impôts directs et indirects, régimes d'imposition, procédures fiscales","impôts;fiscalité;taxes;CGI","DGI","https://dgi.cgici.com/indexs.htm","Édition consolidée 2025",FR,2025-01-04,2025-01-04,,,,,
,Codes,Droit du travail,En vigueur,,Code_Travail_2015.pdf,application/pdf,,,,"Loi N° 2015-532 du 20 juillet 2015 portant Code du Travail","Définit les relations employeur-salarié, conditions de travail, introduit le télétravail, fixe procédures de licenciement, régit contrats de travail","travail;emploi;télétravail;salariés","Ministère de l'Emploi","https://www.ilo.org/dyn/natlex/docs/MONOGRAPH/101756/122686/F1492153652/CIV-101756.pdf","Code consolidé",FR,2015-07-20,2015-07-20,,,,,
,Actes uniformes OHADA,Droit commercial général,En vigueur,,AU_OHADA_2010_CommercialGeneral.pdf,application/pdf,,,,"Acte uniforme révisé portant sur le droit commercial général (15 décembre 2010)","Définit le statut du commerçant et de l'entreprenant, organise le RCCM, régit les baux professionnels, fonds de commerce, vente commerciale","commerce;RCCM;entreprenant;OHADA","OHADA","https://www.droit-afrique.com/upload/doc/ohada/Ohada-Acte-Uniforme-2010-droit-commercial.pdf","Révision de l'AU de 1997",FR,2010-12-15,2011-05-15,,,,,
,Lois ordinaires,Droit des télécommunications,En vigueur,,Loi_2024-352_Communications.pdf,application/pdf,,,,"Loi n°2024-352 du 06 juin 2024 relative aux communications électroniques","Nouveau cadre réglementaire des télécommunications et services numériques, obligation récépissé déclaration pour plateformes, régulation contenus électroniques","télécoms;numérique;plateformes","Ministère Transition Numérique","https://telecom.gouv.ci/new/uploads/publications/173063856293.pdf","Remplace Ord.2012-293",FR,2024-06-06,2024-06-06,,,,,"10"
,Lois ordinaires,Droit commercial général,En vigueur,,Loi_2023-901_Startups.pdf,application/pdf,,,,"Loi n°2023-901 du 23 novembre 2023 portant promotion des startups numériques","Statut et labellisation des startups, avantages douaniers et fiscaux, marchés publics spécifiques, accompagnement, durée label max 5 ans","startup;innovation;numérique;label","Ministère Transition Numérique","https://uvci.online/portail/externes/documents/textes_officiels/loi-2023-901-promotion-des-startups-numeriques1.pdf","Texte initial",FR,2023-11-23,2023-11-23,,,,,
,Décrets,Droit commercial général,En vigueur,,Decret_2012-867_CEPICI.pdf,application/pdf,,,,"Décret N° 2012-867 du 06 septembre 2012 portant création du CEPICI","Texte fondateur du CEPICI instituant le Guichet Unique de l'investissement, centralise toutes formalités de création d'entreprise","CEPICI;guichet unique;investissement","SGG","https://sgg.gouv.ci/photo_doc/1373646863Decret_N_2012-867.pdf",,FR,2012-09-06,2012-09-06,,,,,
