institution,institution_type,statut,titre,description,type,pays,regions_ciblees,date_limite_candidature,date_debut,duree,remuneration,nombre_places,secteurs,criteres_eligibilite,contact_email_enrichi,lien_externe,origine_initiative
Agence Emploi Jeunes (AEJ),MINISTERE_AGENCE,Ouvert,Opération Agir pour les Jeunes,Programme création emplois et AGR,FINANCEMENT,Côte d'Ivoire,National,Continu,2025,Variable,1.05 milliard FCFA budget total,2100 emplois créés,AGRICULTURE;INDUSTRIE;COMMERCE;NUMERIQUE;IMPACT_SOCIAL,"Les candidats doivent être âgés de 18 à 35 ans, résider dans la zone géographique couverte par AEJ AGIR, et présenter un projet d'Activité Génératrice de Revenus (AGR) viable et innovant. Le projet doit démontrer un potentiel de création d'emploi durable et contribuer au développement économique local. Les jeunes sans emploi ou en situation précaire sont prioritaires. Une présentation claire du plan d'affaires et des projections financières est requise pour l'évaluation.",,https://agenceemploijeunes.ci,PUBLIC
Agence Emploi Jeunes (AEJ),MINISTERE_AGENCE,Ouvert,Plateforme de Financement AEJ,Financement de projets entrepreneuriaux pour jeunes avec accompagnement et formation,FINANCEMENT,Côte d'Ivoire,National,Continu,2015,Permanent,Variable selon projets,Illimité,AGRICULTURE;COMMERCE;SERVICES_PRO;IMPACT_SOCIAL,"Jeunes 18-35 ans, projet viable, formation requise",,https://agenceemploijeunes.ci/,PUBLIC
BAD / Gouvernement CI,MINISTERE_AGENCE,Ouvert,Youth Entrepreneurship Investment Bank (YEIB),"Financement jeunes entrepreneurs énergies renouvelables, numérique, agrobusiness",FINANCEMENT,Côte d'Ivoire,National,31/12/2030,Mai 2025,5 ans,139.68 millions EUR,8700 jeunes (50% femmes),ENERGIE;AGRICULTURE;NUMERIQUE,"Jeunes 18-35 ans, projets secteurs prioritaires",,https://www.finances.gouv.ci,PUBLIC
CDC-CI Capital,MINISTERE_AGENCE,Ouvert,Programme d'Appui à l'Écosystème des Startups,Financement amorçage et assistance startups/PME ivoiriennes,FINANCEMENT,Côte d'Ivoire,National,31/12/2025,Juin 2025,6 mois,50 millions FCFA max/bénéficiaire,100 startups/PME,NUMERIQUE;AGRICULTURE;INDUSTRIE;SANTE;EDUCATION;SERVICES_PRO,"Entreprises légales, 1 an activité minimum, 2 membres actifs",,https://cdccapital.ci/,PUBLIC
FIRCA,MINISTERE_AGENCE,Ouvert,Fonds Compétitif pour l'Innovation Agricole Durable (FCIAD),"Financement projets innovation agricole durable, 5ème édition en cours",FINANCEMENT,Côte d'Ivoire,National,Continu,2021,18 mois max par projet,5 milliards FCFA,Variable,AGRICULTURE;RECHERCHE;IMPACT_SOCIAL,Équipes recherche publiques/privées nationales,firca@firca.ci,https://www.firca.ci,PUBLIC
Gouvernement CI / Banque Mondiale,MINISTERE_AGENCE,Ouvert,Cadre de Financement Lié à la Durabilité,Premier cadre SLF africain pour projets durables et verts,FINANCEMENT,Côte d'Ivoire,National,Continu,Juillet 2025,5 ans,Variable,Variable,ENERGIE;ENVIRONNEMENT;IMPACT_SOCIAL,"Projets énergies renouvelables, reboisement",,https://www.finances.gouv.ci,PUBLIC
Ministère Agriculture / FIDA,MINISTERE_AGENCE,Ouvert,PROPACOM-OUEST Extension,Développement agricole zones ouest avec cofinancement UNACOOPEC,FINANCEMENT,Côte d'Ivoire,Tonkpi;Kabadougou;Folon;Bafing;Worodougou;Béré,Continu,2024,3 ans,6 milliards FCFA UNACOOPEC,Variable,AGRICULTURE;IMPACT_SOCIAL,Coopératives et exploitants zones ouest,,https://www.goafricaonline.com/ci/530023-propacom-ouest-projets-bureaux-appui-bouake-cote-ivoire,PUBLIC
Ministère de l'Agriculture / Banque Mondiale,MINISTERE_AGENCE,Ouvert,PDC2V - Projet de Développement des Chaînes de Valeurs Vivrières,"Développement des filières manioc, horticulture et aquaculture avec financement Banque Mondiale",FINANCEMENT,Côte d'Ivoire,National,Continu,2024,3 ans,160 milliards FCFA,600000 exploitants + 150 PME + 400 microentreprises,AGRICULTURE;IMPACT_SOCIAL,"Petits exploitants (50% femmes), PME, microentreprises",,https://www.pdc2v.ci,PUBLIC
Ministère de l'Agriculture et du Développement Rural,MINISTERE_AGENCE,Ouvert,Guichet de Financement SARA 2025,Financement de projets agricoles jeunes avec 90% de financement pour projets jusqu'à 54 millions FCFA,FINANCEMENT,Côte d'Ivoire,National,31/12/2025,Mai 2025,8 mois,3.782 milliards FCFA total,1460 jeunes porteurs,AGRICULTURE;IMPACT_SOCIAL,"Jeunes entrepreneurs agricoles, projets 0-54 millions FCFA",,https://www.agriculture.gouv.ci,PUBLIC
Ministère de l'Enseignement Supérieur et de la Recherche Scientifique,MINISTERE_AGENCE,Ouvert,Programmes Nationaux de Recherche (PNR),"3 programmes: Innovation agricole, Changement climatique, Mines et énergies",FINANCEMENT,Côte d'Ivoire,National,Continu,2024,2 ans,Financement AFD,Variable,AGRICULTURE;RESSOURCES;ENERGIE;ENVIRONNEMENT;RECHERCHE,"Équipes de recherche, innovateurs, startups deeptech",info@enseignement.gouv.ci,https://www.enseignement.gouv.ci,PUBLIC
Ministère de l'Économie et des Finances,MINISTERE_AGENCE,Ouvert,Programme IFC Côte d'Ivoire,"Portefeuille 761 millions USD pour logement, agro-industrie, PME",FINANCEMENT,Côte d'Ivoire,National,Continu,2024,Variable,761 millions USD portefeuille,Variable,AGRICULTURE;CONSTRUCTION;INDUSTRIE;COMMERCE;IMPACT_SOCIAL,"PME tous secteurs, 25% femmes entrepreneures",,https://www.ifc.org,INTERNATIONAL
"Ministère de la Femme, de la Famille et de l'Enfant",MINISTERE_AGENCE,Ouvert,Fonds d'Appui aux Femmes de Côte d'Ivoire (FAFCI),"Microcrédit taux réduit 1% pour autonomisation féminine, 90 milliards investis depuis 2012",FINANCEMENT,Côte d'Ivoire,National,Continu,2012,Permanent,30000-500000 FCFA par bénéficiaire,420000+ femmes impactées,AGRICULTURE;COMMERCE;IMPACT_SOCIAL,"Femmes 21+ ans avec projet AGR, associations féminines",,https://fafci.org/,PUBLIC
Ministère de la Transition Numérique et de la Digitalisation,MINISTERE_AGENCE,Ouvert,Fonds Ivoirien de l'Innovation et des Technologies (FIIT),Dispositif de financement des startups et projets numériques avec participation État-secteur privé,FINANCEMENT,Côte d'Ivoire,National,Continu,Juillet 2025,Permanent,450 milliards FCFA (25% État + 75% privé),Illimité,NUMERIQUE;RECHERCHE,"Projets à fort potentiel technologique, partenariats requis",info@telecom.gouv.ci,https://www.telecom.gouv.ci,PUBLIC
Ministère des Transports,MINISTERE_AGENCE,Ouvert,Fonds de Développement du Transport Routier (FDTR),Financement renouvellement parc automobile transporteurs à 7% d'intérêt,FINANCEMENT,Côte d'Ivoire,National,Continu,2025,Permanent,8.4 millions FCFA minimum,Illimité,TRANSPORT;FINANCE;PUBLIC,Transporteurs avec compte COOPEC,,https://www.transports.gouv.ci,PUBLIC
Ministère des Transports,MINISTERE_AGENCE,Ouvert,Budget Transports 2025 - Modernisation Infrastructure,Budget 312 milliards FCFA pour modernisation infrastructures et mobilité,FINANCEMENT,Côte d'Ivoire,National,31/12/2025,Janvier 2025,1 an,312 milliards FCFA,Variable,TRANSPORT;CONSTRUCTION;PUBLIC,"Entreprises transport, logistique, BTP",info@transports.gouv.ci,https://www.transports.gouv.ci,PUBLIC
Ministère du Commerce et de l'Industrie,MINISTERE_AGENCE,Ouvert,Zones Économiques Spéciales et Zones Industrielles,Zone Industrielle Akoupé-Zeudji et autres zones en développement,FINANCEMENT,Côte d'Ivoire,National,Continu,2023,Permanent,1000 milliards FCFA investissement,134+ entreprises engagées,INDUSTRIE;TRANSPORT;COMMERCE,"Entreprises industrielles, PME manufacturières",info@commerce.gouv.ci,https://www.commerce.gouv.ci,PUBLIC
Ministère délégué auprès du Premier Ministre chargé des Sports et du Cadre de Vie,MINISTERE_AGENCE,Ouvert,Budget Sports 2025 - Développement Économie Sportive,Programme triennal développement sportif avec infrastructures et formation,FINANCEMENT,Côte d'Ivoire,National,31/12/2025,Janvier 2025,1 an,58 milliards FCFA,Variable,CONSTRUCTION;EDUCATION;PUBLIC,"Athlètes, fédérations, entrepreneurs sportifs",,https://jeunesse.gouv.ci/,PUBLIC
RESILIENCE PEACE,MINISTERE_AGENCE,Ouvert,Programme Resilience for Peace USAID,Renforcement résilience et opportunités économiques zones Nord,FINANCEMENT,Côte d'Ivoire,National,Continu,2025-2030,5 ans,20M+ USD budget,Variable,IMPACT_SOCIAL;EDUCATION;AGRICULTURE;SANTE;SERVICES_PRO,"Ce programme s'adresse principalement aux jeunes âgés de 18 à 35 ans résidant dans les régions du Nord, notamment ceux issus de communautés vulnérables ou affectées par des conflits. Les candidats doivent démontrer un engagement envers des initiatives économiques ou sociales locales et être en mesure de participer activement aux activités de renforcement de la résilience.",,https://usaid.gov,INTERNATIONAL
Réseau Initiative CI,MINISTERE_AGENCE,Ouvert,Réseau Initiative Côte d'Ivoire (RICI) - Expansion 2025,Financement et accompagnement entrepreneurs avec appui AFD,FINANCEMENT,Côte d'Ivoire,National,Continu,2023,Permanent,240+ millions FCFA décaissés,161+ entrepreneurs,AGRICULTURE;RESSOURCES;ENERGIE;ENVIRONNEMENT;INDUSTRIE;CONSTRUCTION;TRANSPORT;COMMERCE;FINANCE;NUMERIQUE;MEDIAS;TOURISME;SANTE;EDUCATION;SERVICES_PRO;RECHERCHE;PUBLIC;SECURITE;IMPACT_SOCIAL;SERVICES_PERSO,Entrepreneurs avec projets viables,,https://initiative-international.org/pays-intervention-cote-divoire/,PUBLIC
SARA,MINISTERE_AGENCE,À venir,SARA 2025,Salon International de l'Agriculture avec financements jeunes,FINANCEMENT,Côte d'Ivoire,National,Mai 2025,23/05-01/06/2025,10 jours,1.5 milliards FCFA pour jeunes projets agricoles, Variable,AGRICULTURE;NUMERIQUE,"Peuvent participer les jeunes entrepreneurs agricoles âgés de 18 à 40 ans, porteurs de projets innovants ou en activité dans le secteur agricole, souhaitant bénéficier d'un accompagnement financier ou d'opportunités de réseautage. Les candidats doivent présenter un projet viable et durable dans l'agriculture, l'agroalimentaire ou les technologies associées.",,https://sara.ci,PUBLIC
SGPME,MINISTERE_AGENCE,Ouvert,Société de Garantie des Crédits aux PME Ivoiriennes - Extension 2025,Garanties crédit et accès marchés publics pour PME,FINANCEMENT,Côte d'Ivoire,National,Continu,2022,Permanent,Capital État,1773+ entreprises,PUBLIC;FINANCE;COMMERCE;INDUSTRIE;SERVICES_PRO;IMPACT_SOCIAL,PME avec besoin garantie crédit,,https://www.sgpme.ci,PUBLIC
Secrétariat d'État Autonomisation des Femmes,MINISTERE_AGENCE,Ouvert,Fonds National Femmes et Développement (FNFD),Financement projets entrepreneuriaux féminins urbains sans garantie,FINANCEMENT,Côte d'Ivoire,Abidjan,Continu,Annuel,1 an,500 millions FCFA/an,13974+ bénéficiaires,AGRICULTURE;INDUSTRIE;COMMERCE;NUMERIQUE;SANTE;EDUCATION;IMPACT_SOCIAL,"Femmes avec projets viables, pas de garanties requises",,https://famille.gouv.ci/mffe,PUBLIC
AFAWA,BANQUE_DEVELOPPEMENT,Ouvert,AFAWA BAD,Garanties de prêts pour PME dirigées par femmes,FINANCEMENT, Côte d'Ivoire,National,Continu,Continu,Variable,Garanties jusqu'à 2.5M USD, Illimité,FINANCE;IMPACT_SOCIAL,"Sont éligibles les PME enregistrées en Afrique, dirigées ou détenues majoritairement (au moins 51%) par des femmes, avec un modèle d'affaires viable et un besoin démontré de financement pour l'expansion ou la consolidation de leurs activités. Les entreprises doivent également respecter les réglementations locales en vigueur et avoir une gestion financière transparente.",,https://afdb.org,INTERNATIONAL
IFC PME,BANQUE_DEVELOPPEMENT,Ouvert,Programme Financement PME IFC,Facilité de partage des risques pour PME,FINANCEMENT,Côte d'Ivoire,National,Continu,Jusqu'en 2028,Variable,40M USD facilité (30% femmes),2100 prêts PME prévus,AGRICULTURE;INDUSTRIE;COMMERCE;ENERGIE;SANTE;EDUCATION;IMPACT_SOCIAL,"Les PME doivent être légalement établies dans un pays éligible, avoir une taille correspondant à la définition locale des PME, et démontrer une gestion financière saine. Au moins 30% des PME bénéficiaires doivent être dirigées ou co-dirigées par des femmes. Les entreprises doivent également opérer dans des secteurs prioritaires définis par l'IFC et être capables de fournir des états financiers vérifiés.",pme.financement@ifc.org,https://ifc.org,INTERNATIONAL
AFD PROPARCO,FONDS_INVESTISSEMENT,Ouvert,FISEA Programme,Investissement fonds VC africains,FINANCEMENT,Côte d'Ivoire,National,Continu,Variable,Variable,3-20M€ par fonds,Non limité,IMPACT_SOCIAL;FINANCE;NUMERIQUE,"Fonds VC, startups impact",,https://www.proparco.fr/fr,INTERNATIONAL
Comoé Capital,FONDS_INVESTISSEMENT,Ouvert,Fonds Comoé Capital,Fonds d'investissement pour startups et PME à fort potentiel avec coaching personnalisé,FINANCEMENT,Côte d'Ivoire,National,Continu,Continu,Variable,20 à 300 millions FCFA,4-5 entreprises/an,AGRICULTURE;RESSOURCES;ENERGIE;ENVIRONNEMENT;INDUSTRIE;CONSTRUCTION;TRANSPORT;COMMERCE;FINANCE;NUMERIQUE;MEDIAS;TOURISME;SANTE;EDUCATION;SERVICES_PRO;RECHERCHE;PUBLIC;SECURITE;IMPACT_SOCIAL;SERVICES_PERSO,"Être entrepreneur ivoirien ou avoir une entreprise enregistrée en Côte d'Ivoire, justifier d'une croissance prouvée par des indicateurs financiers ou commerciaux solides, opérer dans n'importe quel secteur d'activité, présenter un modèle économique viable et scalable, démontrer un besoin clair de financement pour accélérer la croissance, et être ouvert à un accompagnement stratégique et opérationnel.",infos@comoecapital.com,https://comoecapital.com,PRIVE
Comoé Capital,FONDS_INVESTISSEMENT,Ouvert,Comoé Capital Seed Fund,Financement 20-300 millions FCFA avec coaching pour PME,FINANCEMENT,Côte d'Ivoire,National,Continu,2023,10 ans,20-300 millions FCFA/entreprise,50 entreprises sur 10 ans,AGRICULTURE;NUMERIQUE;SANTE;EDUCATION;IMPACT_SOCIAL;SERVICES_PRO,"PME innovantes, femmes majoritaires encouragées",infos@comoecapital.com,https://www.comoe-capital.ci,PUBLIC
