institution,institution_type,statut,titre,description,type,pays,regions_ciblees,date_limite_candidature,date_debut,duree,remuneration,nombre_places,secteurs,criteres_eligibilite,contact_email_enrichi,lien_externe,origine_initiative
"CGECI","INCUBATEUR_ACCELERATEUR","Ouvert","CGECI Academy Business Plan Competition 2025","13ème édition du concours national de business plan avec accompagnement et prix","ACCELERATION","Côte d'Ivoire","National","2025-09-20","2025-09-22","2 jours + accompagnement","11M FCFA grand prix + prix sectoriels","Non spécifié","TOUS_SECTEURS","18-40 ans, projet innovant, potentiel croissance","recrutement.prodije@cgeci.ci","https://cgeci.com/","PRIVE"
"M-Studio","STUDIO","Ouvert","Programme de co-fondation M-Studio","Startup studio mobile avec investissement et participation opérationnelle","INCUBATION","Côte d'Ivoire","Abidjan","Recrutement continu","Variable","12-24 mois","250k€ préseed + 500k€ accompagnement","30 startups d'ici 2026","MOBILE,INFORMEL","Min 2 co-fondateurs, business model éprouvé, lancement Abidjan","contact via mstudio.vc","https://www.mstudio.vc","PRIVE"
"ZEBOX West Africa","INCUBATEUR_ACCELERATEUR","Ouvert","ZEBOX Fall 2025 Cohort","Programme d'accélération CMA CGM pour startups logistique et supply chain","ACCELERATION","Côte d'Ivoire","Abidjan","2025-09-30","2025-10-01","9-12 mois","Accès réseau CMA CGM + levée fonds","Non spécifié","LOGISTIQUE,TRANSPORT","Startups matures, secteur maritime/logistique","via ze-box.io","https://www.ze-box.io/hubs/west-africa","PRIVE"
"Orange Fab CI","INCUBATEUR_ACCELERATEUR","À vérifier","Orange Fab Saison 11","Programme d'accélération Orange avec financement et accès APIs","ACCELERATION","Côte d'Ivoire","National","À confirmer","À confirmer","6 mois","10M FCFA","5-6 startups","TECH,FINTECH,SANTE","Startup avec MVP, équipe solide, potentiel croissance","via orangefab.ci","https://www.orangefab.ci","PRIVE"
"Y'ello Startup MTN","INCUBATEUR_ACCELERATEUR","À vérifier","Y'ello Startup Programme 2025","Incubation MTN avec accompagnement et accès plateformes techniques","INCUBATION","Côte d'Ivoire","National","À confirmer","À confirmer","6 mois","5-10M FCFA","5 projets","FINTECH,SANTE,EDTECH","Solutions digitales innovantes, impact socio-économique","via yellostartup.mtn.ci","https://yellostartup.mtn.ci","PRIVE"
"Seedstars","INVESTISSEUR","Ouvert","Seedstars Africa Ventures","Fonds d'investissement pour startups post-revenus","INVESTISSEMENT","Côte d'Ivoire","Afrique subsaharienne","Continu","Immédiat","Variable","$250k-$2M initial","Non limité","FINTECH,AGRITECH,B2B","Post-revenus, forte croissance, équipe solide","contact@seedstars.com","https://www.seedstars.com","PRIVE"
"ABX Accelerator","INCUBATEUR_ACCELERATEUR","À vérifier","Programme ABX 2025","16 semaines accélération + 12 mois accompagnement","ACCELERATION","Côte d'Ivoire","Abidjan","À confirmer","À confirmer","16 sem + 12 mois","Package 30M FCFA valeur","Non spécifié","TECH,INNOVATION","Min 2 ans existence, MVP/prototype, marché existant","info@abxaccel.com","https://abxaccel.com","PRIVE"
"Hub Ivoire Tech","INCUBATEUR_ACCELERATEUR","Ouvert","Programme d'incubation Hub Ivoire Tech","Plus grand campus startups Afrique avec incubation complète","INCUBATION","Côte d'Ivoire","Abidjan","Continu","Variable","6-12 mois","Variable selon programme","Non limité","TOUS_SECTEURS","Projets innovants, équipe dédiée","via hubivoiretech.ci","https://hubivoiretech.ci","PUBLIC"
"Fondation Jeunesse Numérique","INCUBATEUR_ACCELERATEUR","Ouvert","Programme FJN Incubation","Incubation et accélération projets numériques","INCUBATION","Côte d'Ivoire","National","Via appels à projets","Variable","6 mois + 6 mois","Petits tickets équipements","Non spécifié","NUMERIQUE","Composante numérique forte, innovation, impact social","infos@fjn.ci","https://fjn.ci","PUBLIC"
"Impact Hub Abidjan","INCUBATEUR_ACCELERATEUR","Ouvert","Programmes Impact Hub multiples","AfriCircular, Innov'Keneya, WIC Académie, etc.","INCUBATION","Côte d'Ivoire","Abidjan","Selon programme","Variable","Variable","Variable selon programme","Variable","IMPACT,SANTE,FEMMES","Impact social/environnemental, potentiel croissance","onboarding@impacthub.net","https://abidjan.impacthub.net","PRIVE"
"Incub'Ivoire","INCUBATEUR_ACCELERATEUR","Ouvert","Speed Farmer","Accélération agripreneurs secteur agricole","ACCELERATION","Côte d'Ivoire","National","Via appels à projets","Variable","3 mois","Non spécifié","Non spécifié","AGRICULTURE","Projets agricoles innovants, viabilité économique","via incubivoir.net","https://incubivoir.net","PRIVE"
"IECD","INCUBATEUR_ACCELERATEUR","Ouvert","Programme TRANSFORM","Incubateur entreprises agro-alimentaires","INCUBATION","Côte d'Ivoire","National","Continu","Variable","Variable","Non spécifié","Non spécifié","AGROALIMENTAIRE","Entreprises agro-alimentaires, potentiel croissance","patrick.sekongo@iecd.org","Contact direct requis","INTERNATIONAL"
"ESPartners","INCUBATEUR_ACCELERATEUR","Ouvert","Orange Corners Côte d'Ivoire","Programme entrepreneuriat jeunes avec focus agriculture","INCUBATION","Côte d'Ivoire","National","Par cohortes","Variable","6-12 mois","Variable","Non spécifié","AGRICULTURE,INNOVATION","18-35 ans, projet innovant, impact social","info@espartners.co","https://espartners.co","INTERNATIONAL"
"French Tech Abidjan","INCUBATEUR_ACCELERATEUR","Ouvert","Programmes French Tech","Connexion écosystèmes français et ivoirien","ACCELERATION","Côte d'Ivoire","Abidjan","Continu","Variable","Variable","Non spécifié","65+ membres","TECH,FINTECH,GREENTECH","Startups tech, lien franco-ivoirien","contact@frenchtechabidjan.ci","https://frenchtechabidjan.com","PRIVE"
"INOVIS","INCUBATEUR_ACCELERATEUR","Ouvert","CR2I Programme universitaire","Premier incubateur universitaire CI","INCUBATION","Côte d'Ivoire","Bingerville","Via université","Variable","Variable","Non spécifié","50 jeunes TIC","TIC,INNOVATION","Étudiants/diplômés, projets innovants","via inovis-ci.com","https://inovis-ci.com","PUBLIC"
"Jokkolabs Abidjan","INCUBATEUR_ACCELERATEUR","Ouvert","Espace innovation Jokkolabs","Coworking et programmes innovation","INCUBATION","Côte d'Ivoire","Abidjan","Continu","Immédiat","Variable","Selon programme","Non limité","TOUS_SECTEURS","Entrepreneurs, créatifs, innovateurs","via jokkolabs.net","https://jokkolabs.net/abidjan","PRIVE"
"Yiri AGL","INCUBATEUR_ACCELERATEUR","Ouvert","X Incubation Program","Développement MVP avec cas usage AGL","INCUBATION","Côte d'Ivoire","Abidjan","Continu","Variable","Variable","Non spécifié","Non spécifié","LOGISTIQUE","Jeunes entrepreneurs, MVP pertinent AGL","yiri@glgroup.com","Contact direct","PRIVE"
"Joliba Capital","INVESTISSEUR","Ouvert","Fonds Joliba Capital","Investissement PME Afrique Ouest/Centrale","INVESTISSEMENT","Côte d'Ivoire","Afrique Ouest","Continu","Immédiat","Variable","Variable selon projet","Non limité","TOUS_SECTEURS","PME établies, potentiel croissance","via LinkedIn","Contact direct requis","PRIVE"
"Comoé Capital","INVESTISSEUR","Ouvert","Programme Comoé Capital","Financement et accompagnement PME","INVESTISSEMENT","Côte d'Ivoire","National","Continu","Immédiat","Variable","20-300M FCFA","Non limité","TOUS_SECTEURS","PME viables, impact économique","via CDC-CI","Contact via CDC-CI","PUBLIC"
"CI20","INVESTISSEUR","Ouvert","Startup Boost Capital","Fonds patronat startups ivoiriennes","INVESTISSEMENT","Côte d'Ivoire","National","Continu","Immédiat","Variable","Part du 1 milliard FCFA","35+ membres","TOUS_SECTEURS","Startups membres CI20, fort potentiel","via CI20","Contact CI20 direct","PRIVE"
