institution,institution_type,statut,titre,description,type,pays,regions_ciblees,date_limite_candidature,date_debut,duree,remuneration,nombre_places,secteurs,criteres_eligibilite,contact_email_enrichi,lien_externe,origine_initiative
"Ministère de la Promotion de la Jeunesse, de l'Insertion Professionnelle et du Service Civique",MINISTERE,En cours,Programme Jeunesse du Gouvernement (PJGouv) 2023-2025,"Programme triennal d'autonomisation des jeunes par l'entrepreneuriat, la formation et le financement avec un budget de 1118 milliards FCFA sur 3 ans",FINANCEMENT/FORMATION/SUBVENTION,Côte d'Ivoire,National,Continu,2023,3 ans,350.2 milliards FCFA pour 2025,1.5 million de jeunes,"Agriculture;Technologie;Commerce;Tous secteurs","Jeunes 18-35 ans, citoyens ivoiriens",info@jeunesse.gouv.ci,www.jeunesse.gouv.ci,GOUVERNEMENTAL
"Agence Emploi Jeunes (AEJ)",AGENCE_GOUVERNEMENTALE,Ouvert,Plateforme de Financement AEJ,"Financement de projets entrepreneuriaux pour jeunes avec accompagnement et formation",FINANCEMENT,Côte d'Ivoire,National,Continu,2015,Permanent,Variable selon projets,Illimité,"Commerce;Services;Artisanat;Agriculture","Jeunes 18-35 ans, projet viable, formation requise",contact@agenceemploijeunes.ci,www.emploi.jeunes.ci,GOUVERNEMENTAL
"Agence Emploi Jeunes (AEJ)",AGENCE_GOUVERNEMENTALE,En cours,Programme Enable Youth - Agribusiness,"Programme de financement et formation pour jeunes dans l'agribusiness avec la BAD",FINANCEMENT/FORMATION,Côte d'Ivoire,National,Continu,2024,2 ans,500+ millions FCFA pour 20 jeunes pilotes,20+ jeunes entrepreneurs,"Agriculture;Agribusiness","Jeunes 18-35 ans, projet agricole viable",contact@agenceemploijeunes.ci,www.emploi.jeunes.ci,GOUVERNEMENTAL
"Agence Emploi Jeunes (AEJ)",AGENCE_GOUVERNEMENTALE,En cours,Initiative Startup Boost Capital,"Fonds de financement pour startups technologiques et innovantes",FINANCEMENT,Côte d'Ivoire,National,Continu,2025,Permanent,50 millions FCFA max par projet,20+ startups,"Technologies;Innovation;Numérique","Entreprises numériques et technologiques, jeunes entrepreneurs",contact@agenceemploijeunes.ci,www.emploi.jeunes.ci,GOUVERNEMENTAL
"Ministère de la Promotion des PME et de l'Artisanat",MINISTERE,Ouvert,Guichet Unique de Développement des PME (GUDE-PME),"Programme d'accompagnement et financement des PME avec appui de l'AFD",FINANCEMENT/INCUBATION,Côte d'Ivoire,National,Continu,2022,5 ans,52.476 milliards FCFA AFD + 160 milliards sur 5 ans,8000 PME en 2025,"Tous secteurs PME","PME ivoiriennes, 2 ans d'existence minimum",contact@gudepme.ci,www.pme.gouv.ci,GOUVERNEMENTAL
"Ministère de la Promotion des PME et de l'Artisanat",MINISTERE,En cours,Programme PEPITE 2030,"Programme d'incubation et financement pour transformer PME en champions nationaux",INCUBATION/FINANCEMENT,Côte d'Ivoire,National,Continu,2021,10 ans,Variable selon projets,150 entreprises par an,"15 pôles sectoriels stratégiques","PME avec potentiel de croissance, secteurs prioritaires",contact@pme.gouv.ci,www.pme.gouv.ci,GOUVERNEMENTAL
"Société de Garantie des PME (SGPME)",AGENCE_GOUVERNEMENTALE,Ouvert,Société de Garantie des PME,"Garantie des crédits PME auprès des banques avec capital de 10 milliards FCFA",SUBVENTION/FINANCEMENT,Côte d'Ivoire,National,Continu,2022,Permanent,10 milliards FCFA capital État,1773+ entreprises accompagnées,"Tous secteurs PME","PME avec besoin de garantie bancaire",contact@sgpme.ci,www.sgpme.ci,GOUVERNEMENTAL
"Ministère de l'Agriculture et du Développement Rural",MINISTERE,Actif,Guichet de Financement SARA 2025,"Financement de projets agricoles jeunes avec 90% de financement pour projets jusqu'à 54 millions FCFA",FINANCEMENT,Côte d'Ivoire,National,31/12/2025,Mai 2025,8 mois,3.782 milliards FCFA total,1460 jeunes porteurs,"Riziculture;Aquaculture;Aviculture;Transformation agroalimentaire","Jeunes entrepreneurs agricoles, projets 0-54 millions FCFA",contact@sara.ci,www.agriculture.gouv.ci,GOUVERNEMENTAL
"Ministère de l'Agriculture et du Développement Rural",MINISTERE,En cours,PNIA II - Programme National d'Investissement Agricole,"Programme national de développement agricole durable et compétitif",FINANCEMENT/FORMATION,Côte d'Ivoire,National,Continu,2017,8 ans,11905 milliards FCFA total,600000+ exploitants,"Agriculture durable;Chaînes de valeurs;Modernisation agricole","Exploitants agricoles, coopératives, PME agricoles",info@agriculture.gouv.ci,www.agriculture.gouv.ci,GOUVERNEMENTAL
"Ministère de l'Agriculture / Banque Mondiale",MINISTERE,En cours,PDC2V - Projet de Développement des Chaînes de Valeurs Vivrières,"Développement des filières manioc, horticulture et aquaculture avec financement Banque Mondiale",FINANCEMENT/FORMATION,Côte d'Ivoire,6 agropôles,Continu,2024,3 ans,160 milliards FCFA,600000 exploitants + 150 PME + 400 microentreprises,"Manioc;Horticulture;Aquaculture","Petits exploitants (50% femmes), PME, microentreprises",contact@pdc2v.ci,www.pdc2v.ci,GOUVERNEMENTAL
"ANADER",AGENCE_GOUVERNEMENTALE,En cours,Programme de Travail et Budget Annuel (PTBA) 2025,"Programme de conseil agricole et appui au développement rural",FORMATION/INCUBATION,Côte d'Ivoire,National,Continu,Janvier 2025,1 an,Budget opérationnel annuel,90000+ exploitants,"Maïs;Maraîchage;Élevage;Toutes filières agricoles","Exploitants agricoles, groupements, coopératives",contact@anader.ci,www.anader.ci,GOUVERNEMENTAL
"Ministère de l'Environnement et du Développement Durable",MINISTERE,En cours,Coordination Générale des Programmes et Projets (CGPP),"5 programmes nationaux: changements climatiques, gestion déchets, produits chimiques, ressources naturelles, environnement côtier",FINANCEMENT/FORMATION,Côte d'Ivoire,National,Continu,2025,Permanent,Budget ministériel,Variable selon programmes,"Économie verte;Gestion déchets;Ressources naturelles","Entrepreneurs verts, projets durables",CGPP@environnement.gouv.ci,www.environnement.gouv.ci,GOUVERNEMENTAL
