institution,institution_type,statut,titre,description,type,pays,regions_ciblees,date_limite_candidature,date_debut,duree,remuneration,nombre_places,secteurs,criteres_eligibilite,contact_email_enrichi,lien_externe,origine_initiative
ORANGE CORNERS CI,INCUBATEUR_ACCELERATEUR,Ouvert,Programme Orange Corners CI,Programme d'incubation de 6 mois pour solutions écologiques et innovantes dans les chaînes de valeur cacao et horticulture,INCUBATION,Côte d'Ivoire,National,Continu,Cycles 6 mois,6 mois,Formation gratuite + accompagnement,20 par cohorte,AGRICULTURE;ENVIRONNEMENT,"Pour être éligible, le candidat doit être âgé de 18 à 35 ans, résider en Côte d'Ivoire, et porter un projet ou une entreprise innovante dans les secteurs du cacao ou de l'horticulture, créée depuis moins de 24 mois. Le chiffre d'affaires annuel de l'entreprise doit être inférieur à 5 millions de FCFA. Le porteur de projet doit disposer d'au minimum un niveau Bac ou équivalent. Le projet doit présenter une dimension écologique ou innovante clairement définie. Une motivation forte et la disponibilité à s'engager pleinement dans le programme sont également requises.",info@orangecornersivoire.com,orangecorners.com,PRIVE
MTN CI,INCUBATEUR_ACCELERATEUR,Ouvert,Y'ello Startup MTN CI,Programme en 2 phases: 3 mois incubation + 3 mois accélération pour solutions digitales sur plateformes MTN,INCUBATION,Côte d'Ivoire,National,Continu,Cycles réguliers,6 mois,Jusqu'à 7 millions FCFA (1er prix) + 2M FCFA prix Agritech,60 incubation / 20 accélération,NUMERIQUE;FINANCE,"Sont éligibles les startups ou projets digitaux innovants en phase de démarrage ou de développement, capables de proposer des solutions technologiques intégrables aux plateformes MTN (telles que Mobile Money, SMS, USSD, API de télécommunications). Les candidats doivent démontrer un fort potentiel de croissance, une équipe engagée, et une solution répondant à un besoin réel du marché ivoirien. La maîtrise du français est recommandée pour faciliter les échanges durant le programme.",startup@mtnci.com,yellostartup.mtn.ci,PRIVE
ORANGE FAB CI,INCUBATEUR_ACCELERATEUR,Ouvert,Orange Fab CI 9e édition,Accélérateur corporate du Groupe Orange avec accès aux APIs Orange,ACCELERATION,Côte d'Ivoire,National,En cours,2025,4 mois,10 millions FCFA par startup + support technique,6 startups par saison,NUMERIQUE;FINANCE;SANTE,"Sont éligibles les startups innovantes, déjà établies en Côte d'Ivoire ou dans la région, proposant des solutions technologiques compatibles avec les services et APIs du Groupe Orange. Les startups doivent démontrer un potentiel de croissance, une équipe solide, ainsi qu'une capacité à collaborer étroitement avec Orange pour co-développer des solutions adaptées aux besoins du marché.",orangefab.ci@orange.com,orangefab.ci,PRIVE
ABX ACCEL,INCUBATEUR_ACCELERATEUR,Ouvert,ABX Accelerator,Programme intensif de 16 semaines + 12 mois de suivi post-accélération,ACCELERATION,Côte d'Ivoire,National,Trimestriel,Cohortes régulières,16 semaines + 12 mois,Jusqu'à 200 000 USD (120M FCFA) pour top 2,15 startups par cohorte,NUMERIQUE;TOUS_SECTEURS,"Les startups doivent être établies depuis au moins 2 ans, disposer d'un MVP ou prototype fonctionnel, avoir un marché identifié avec des clients actifs ou des preuves de traction commerciale, et démontrer un potentiel de croissance scalable. Une équipe fondatrice engagée et une capacité à s'investir pleinement dans le programme sont également requises.",contact@abxacceler.com,abxaccel.com,PRIVE
TEF,FONDS_INVESTISSEMENT,Ouvert,Tony Elumelu Foundation 2025,Programme entrepreneurial panafricain avec capital de démarrage et formation intensive,FINANCEMENT,Côte d'Ivoire,National,01/03/2025,01/09/2025,12 semaines formation + suivi,5000 USD capital non-remboursable,Illimité pour CI,TOUS_SECTEURS,"Être âgé de 18 ans ou plus, être citoyen d'un pays africain, avoir une idée d'entreprise solide ou une entreprise existante de moins de 5 ans, ne jamais avoir bénéficié auparavant du programme TEF, disposer d'une forte motivation à entreprendre et d'un engagement à suivre la formation complète.",info@tonyelumelufoundation.org,tefconnect.com,PRIVE
COMOE CAPITAL,FONDS_INVESTISSEMENT,Ouvert,Fonds Comoé Capital,Fonds d'investissement pour startups et PME à fort potentiel avec coaching personnalisé,FINANCEMENT,Côte d'Ivoire,National,Continu,Continu,Variable,20 à 300 millions FCFA,4-5 entreprises/an,TOUS_SECTEURS,"Être entrepreneur ivoirien ou avoir une entreprise enregistrée en Côte d'Ivoire, justifier d'une croissance prouvée par des indicateurs financiers ou commerciaux solides, opérer dans n'importe quel secteur d'activité, présenter un modèle économique viable et scalable, démontrer un besoin clair de financement pour accélérer la croissance, et être ouvert à un accompagnement stratégique et opérationnel.",contact@comoecapital.ci,comoecapital.com,PRIVE
JANNGO CAPITAL,FONDS_INVESTISSEMENT,Ouvert,Janngo Capital Startup Fund,Fonds d'investissement avec focus 50% femmes entrepreneures,FINANCEMENT,Côte d'Ivoire,National,Continu,Continu,Variable,50 000 à 5 000 000 euros (33M à 3.3 milliards FCFA),Variable,NUMERIQUE;FINANCE;SANTE,"Les startups doivent être en phase early-stage (pré-amorçage ou amorçage), avoir une équipe incluant au moins une femme entrepreneure en position clé, et proposer une solution innovante répondant à un problème de marché clairement identifié. Le fonds privilégie les entreprises avec un fort potentiel de croissance et un impact social positif. Les secteurs d'activité ne sont pas limités, mais une attention particulière est portée aux projets favorisant l'inclusion et l'autonomisation des femmes.",contact@janngocapital.com,https://www.janngo.com/,PRIVE
PROJET GENIE,ASSOCIATION_ENTREPRENEURIALE,À venir,Projet GENIE,Autonomisation économique des jeunes par l'entrepreneuriat vert et la transformation numérique,FORMATION,Côte d'Ivoire,National,Continu,Février 2025,Jusqu'en 2027,Formation gratuite,45 000 jeunes d'ici 2027,NUMERIQUE;ENVIRONNEMENT;AGRICULTURE,"Jeunes résidents en Côte d'Ivoire âgés de 18 à 35 ans, motivés par l'entrepreneuriat, particulièrement dans les domaines de l'économie verte et de la transformation numérique. Les candidats doivent être disponibles pour suivre la formation sur toute sa durée et démontrer un intérêt pour le développement durable et les solutions technologiques.",contact@projetgenie.ci,agenceemploijeunes.ci,PUBLIC
AEJ,MINISTERE_AGENCE,Ouvert,Programme Jeunesse Gouvernement 2025,Programme national de formation et insertion professionnelle,FORMATION,Côte d'Ivoire,National,Continu,2025,2023-2025,Variable selon programme,600 000 jeunes en 2025,TOUS_SECTEURS,"Être âgé de 18 à 40 ans, posséder la nationalité ivoirienne, être inscrit comme demandeur d'emploi ou en recherche active d'emploi, et avoir un niveau d'études minimum requis selon la filière de formation choisie (généralement niveau BEPC ou équivalent). Priorité donnée aux jeunes issus des zones rurales et aux personnes en situation de vulnérabilité.",contact@aej.ci,agenceemploijeunes.ci,PUBLIC
FNJ,MICROFINANCE,Ouvert,Fonds National de la Jeunesse,Financement de projets individuels et collectifs de jeunes,FINANCEMENT,Côte d'Ivoire,National,Continu,Continu,Variable,Prêts et subventions variables,510 projets visés,TOUS_SECTEURS,"Être âgé de 21 à 35 ans, posséder une carte jeune valide au moment de la demande, présenter un projet concret et réalisable, individuel ou collectif, en lien avec les objectifs du FNJ. Les porteurs de projet doivent résider sur le territoire national et s'engager à rendre compte de l'utilisation des fonds alloués.",contact@fnj.fr,jeunesse.gouv.ci,PUBLIC
